On 	 ['D1']
lets 	 ['D1']
cowardice 	 ['D1']
what 	 ['D1', 'D1']
men 	 ['D1', 'D2']
are 	 ['D1']
new 	 ['D1', 'D1']
uttering 	 ['D1']
they 	 ['D1']
too 	 ['D1', 'D2']
month 	 ['D1']
days 	 ['D1']
my 	 ['D1', 'D2', 'D2']
going 	 ['D1']
there 	 ['D1', 'D3']
to 	 ['D3', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2']
go 	 ['D3']
knew 	 ['D3', 'D3', 'D3', 'D2']
many 	 ['D3']
steps 	 ['D3']
it 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
exactly 	 ['D3']
and 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
simply 	 ['D1']
fantasy 	 ['D1']
amuse 	 ['D1']
playthingâ 	 ['D1']
all 	 ['D2', 'D2', 'D3', 'D3', 'D2', 'D2', 'D2', 'D2']
that 	 ['D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2', 'D2', 'D2']
Petersburg 	 ['D2', 'D2']
unable 	 ['D2']
get 	 ['D2']
out 	 ['D2', 'D2']
worked 	 ['D2']
he 	 ['D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
continually 	 ['D2']
working 	 ['D2', 'D2']
day 	 ['D2']
profoundest 	 ['D2']
refined 	 ['D2']
face 	 ['D2']
exceptionally 	 ['D2']
average 	 ['D2']
wellbuilt 	 ['D2']
eyes 	 ['D2']
hair 	 ['D2', 'D3']
sank 	 ['D2']
or 	 ['D2', 'D2']
accurately 	 ['D2']
mind 	 ['D2']
not 	 ['D2', 'D2', 'D2']
observing 	 ['D2']
caring 	 ['D2']
From 	 ['D2']
mutter 	 ['D2']
something 	 ['D2']
At 	 ['D2', 'D3']
his 	 ['D2', 'D2', 'D2', 'D2']
tangle 	 ['D2']
very 	 ['D2', 'D3']
weak 	 ['D2']
scarcely 	 ['D2', 'D2']
food 	 ['D2']
dressed 	 ['D2']
man 	 ['D2', 'D2', 'D2']
shabbiness 	 ['D2']
been 	 ['D2', 'D3', 'D3']
quarter 	 ['D2']
surprise 	 ['D2', 'D2']
character 	 ['D2']
class 	 ['D2']
streets 	 ['D2', 'D2']
alleys 	 ['D2']
heart 	 ['D2', 'D2']
dreams 	 ['D3', 'D3']
put 	 ['D3']
himself 	 ['D3', 'D3', 'D3', 'D3']
hideous 	 ['D3']
spite 	 ['D2', 'D3', 'D3']
jeered 	 ['D3']
own 	 ['D3']
âœhideousâ 	 ['D3']
as 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2', 'D2']
realise 	 ['D3']
âœrehearsalâ 	 ['D3']
grew 	 ['D3', 'D3']
more 	 ['D3', 'D3']
nervous 	 ['D3']
tremor 	 ['D3']
side 	 ['D3']
looked 	 ['D3', 'D3', 'D3']
canal 	 ['D3']
other 	 ['D3']
let 	 ['D3']
inhabited 	 ['D3']
kindsâtailors 	 ['D3']
locksmiths 	 ['D3']
cooks 	 ['D3']
picking 	 ['D3']
living 	 ['D3']
There 	 ['D3', 'D3']
continual 	 ['D3']
coming 	 ['D3']
two 	 ['D3', 'D3']
gates 	 ['D3']
Three 	 ['D3']
four 	 ['D3']
employed 	 ['D3']
building 	 ['D3']
young 	 ['D3', 'D3', 'D3']
meet 	 ['D3']
slipped 	 ['D3']
unnoticed 	 ['D3']
back 	 ['D3']
dark 	 ['D3', 'D3']
narrow 	 ['D3']
already 	 ['D3']
liked 	 ['D3']
inquisitive 	 ['D3']
âœIf 	 ['D3']
am 	 ['D3']
scared 	 ['D3']
would 	 ['D3', 'D3']
reached 	 ['D3']
progress 	 ['D3']
moving 	 ['D3', 'D3']
furniture 	 ['D3']
occupied 	 ['D3']
family 	 ['D3']
untenanted 	 ['D3']
old 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3']
woman 	 ['D3', 'D3', 'D3', 'D3', 'D3']
good 	 ['D3']
thought 	 ['D3']
though 	 ['D3']
copper 	 ['D3']
houses 	 ['D3']
have 	 ['D3', 'D3']
bells 	 ['D3']
its 	 ['D3']
bring 	 ['D3']
started 	 ['D3']
terribly 	 ['D3']
while 	 ['D3']
crack 	 ['D3', 'D3']
eyed 	 ['D3']
her 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3']
distrust 	 ['D3']
seen 	 ['D3']
But 	 ['D3']
she 	 ['D3', 'D3']
bolder 	 ['D3']
entry 	 ['D3']
facing 	 ['D3']
withered 	 ['D3']
thin 	 ['D3']
neck 	 ['D3']
leg 	 ['D3']
rag 	 ['D3']
hung 	 ['D3']
flapping 	 ['D3']
shoulders 	 ['D3']
mangy 	 ['D3']
yellow 	 ['D3']
instant 	 ['D3']
rather 	 ['D3']
gleam 	 ['D3']
mistrust 	 ['D3']
fastidiousness 	 ['D2']
minded 	 ['D2']
acquaintances 	 ['D2']
fellow 	 ['D2']
meeting 	 ['D2']
waggon 	 ['D2']
heavy 	 ['D2']
dray 	 ['D2']
horse 	 ['D2']
past 	 ['D2']
âœHey 	 ['D2']
German 	 ['D2']
hatterâ 	 ['D2']
bawling 	 ['D2']
clutched 	 ['D2']
tremulously 	 ['D2']
rusty 	 ['D2']
bespattered 	 ['D2']
most 	 ['D2', 'D2']
shame 	 ['D2']
overtaken 	 ['D2']
Why 	 ['D2', 'D2']
this 	 ['D2', 'D2', 'D2']
might 	 ['D2']
whole 	 ['D2']
plan 	 ['D2']
Yes 	 ['D2']
looks 	 ['D2']
absurd 	 ['D2']
wear 	 ['D2']
sort 	 ['D2']
off 	 ['D2']
matters 	 ['D2']
people 	 ['D2']
them 	 ['D2']
little 	 ['D2']
conspicuous 	 ['D2']
trifles 	 ['D2', 'D2']
itâs 	 ['D2']
ruin 	 ['D2']
