an 	 ['D1', 'D1', 'D1', 'D1']
flannel 	 ['D3']
fur 	 ['D3']
cape 	 ['D3']
groaned 	 ['D3']
different 	 ['D2']
matter 	 ['D2', 'D2']
when 	 ['D2', 'D2']
former 	 ['D2']
students 	 ['D2']
indeed 	 ['D2']
disliked 	 ['D2']
at 	 ['D2', 'D2', 'D2', 'D2', 'D2']
yet 	 ['D2']
some 	 ['D2']
unknown 	 ['D2']
reason 	 ['D2']
shouted 	 ['D2']
drove 	 ['D2']
top 	 ['D2']
hat 	 ['D2', 'D2', 'D2', 'D2']
tall 	 ['D2']
round 	 ['D2']
Zimmermanâs 	 ['D2']
torn 	 ['D2']
side 	 ['D2']
fashion 	 ['D2']
quite 	 ['D2']
another 	 ['D2']
terror 	 ['D2']
Thatâs 	 ['D2']
worst 	 ['D2']
spoil 	 ['D2']
I 	 ['D2']
cap 	 ['D2']
pancake 	 ['D2']
grotesque 	 ['D2']
noticed 	 ['D2']
give 	 ['D2']
clue 	 ['D2']
business 	 ['D2']
Trifles 	 ['D2']
everythingâ 	 ['D2']
